iter	RMSE
1130	54585.25817
1131	54571.56822
1132	54560.69698
1133	54523.8998
1134	54514.09673
1135	54493.98506
1136	54474.66079
1137	54448.92623
1138	54430.96517
1139	54400.61372
1140	54382.82108
1141	54334.91922
1142	54319.93196
1143	54299.94373
1144	54271.43328
1145	54261.46426
1146	54247.67854
1147	54232.00964
1148	54207.67408
1149	54194.0823
1150	54167.37894
1151	54144.90382
1152	54124.8461
1153	54102.23
1154	54080.73295
1155	54066.57996
1156	54053.24159
1157	54044.21798
1158	54022.34875
1159	54009.68501
1160	53992.27397
1161	53982.15731
1162	53967.88617
1163	53950.40848
1164	53933.48871
1165	53915.82062
1166	53900.81066
1167	53885.12999
1168	53874.19941
1169	53858.33401
1170	53847.39398
1171	53828.14154
1172	53807.94543
1173	53789.12064
1174	53771.15887
1175	53758.67054
1176	53738.55785
1177	53728.56117
1178	53722.21129
1179	53706.43015
1180	53678.29716
1181	53660.70756
1182	53645.5816
1183	53631.26666
1184	53611.20557
1185	53594.65304
1186	53568.70928
1187	53539.77168
1188	53516.03755
1189	53509.45964
1190	53493.95668
1191	53478.0772
1192	53454.00965
1193	53435.96408
1194	53416.68072
1195	53399.96518
1196	53378.46875
1197	53360.63662
1198	53338.37916
1199	53316.82442
1200	53294.18484
1201	53275.46212
1202	53246.27477
1203	53230.71522
1204	53212.77339
1205	53194.11131
1206	53177.81361
1207	53162.65262
1208	53143.62847
1209	53122.01394
1210	53108.98231
1211	53093.68429
1212	53082.32235
1213	53047.26428
1214	53029.35382
1215	53016.11874
1216	52986.86522
1217	52969.20001
1218	52949.23462
1219	52923.14741
1220	52910.54865
1221	52888.40312
1222	52861.70095
1223	52843.20229
1224	52831.93431
1225	52807.55832
1226	52799.89188
1227	52779.12188
1228	52768.27555
1229	52761.00608
1230	52751.25552
1231	52737.75621
1232	52710.40775
1233	52690.90659
1234	52672.55222
1235	52651.28363
1236	52626.53449
1237	52612.75762
1238	52591.8474
1239	52576.14516
1240	52559.75647
1241	52536.6124
1242	52511.94168
1243	52497.24313
1244	52484.78151
1245	52465.40778
1246	52438.24985
1247	52423.28541
1248	52405.2183
1249	52392.13114
1250	52375.13733
1251	52361.27323
1252	52351.15011
1253	52334.8732
1254	52322.14225
1255	52302.6835
1256	52284.18827
1257	52271.54961
1258	52257.00132
1259	52232.5918
1260	52217.94311
1261	52208.29997
1262	52196.48948
1263	52181.55547
1264	52151.10246
1265	52131.07418
1266	52118.69158
1267	52104.45541
1268	52090.33321
1269	52083.32874
1270	52073.13723
1271	52055.23484
1272	52033.33447
1273	52022.80677
1274	51999.51762
1275	51977.29489
1276	51947.15712
1277	51933.03766
1278	51918.32648
1279	51908.84128
1280	51892.16006
1281	51878.07596
1282	51860.36328
1283	51841.27459
1284	51826.01631
1285	51812.19514
1286	51795.64389
1287	51781.93813
1288	51768.39972
1289	51741.13685
1290	51727.27645
1291	51714.00496
1292	51693.13928
1293	51684.6534
1294	51666.97783
1295	51652.83312
1296	51640.04982
1297	51623.35993
1298	51606.67051
